Protein ID,Protein Group,SubGroup,Protein,Entry Name,Gene Names,Protein Length,Coverage,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Unique Stripped Peptides,Summarized Total Spectral Count,Summarized Unique Spectral Count,Summarized Razor Spectral Count,Indistinguishable Proteins
O75063,281,a,sp|O75063|XYLK_HUMAN,XYLK_HUMAN,FAM20B,409,16.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Glycosaminoglycan xylosylkinase,1.0,0.999,5,23,23,23,
O75083,282,a,sp|O75083|WDR1_HUMAN,WDR1_HUMAN,WDR1,606,66.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,WD repeat-containing protein 1,1.0,0.999,34,651,651,651,
O75113,283,a,sp|O75113|N4BP1_HUMAN,N4BP1_HUMAN,N4BP1,896,8.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,NEDD4-binding protein 1,1.0,0.999,5,39,39,39,
O75116,284,a,sp|O75116|ROCK2_HUMAN,ROCK2_HUMAN,ROCK2,1388,46.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Rho-associated protein kinase 2,1.0,0.999,58,497,447,497,
O75122,285,a,sp|O75122|CLAP2_HUMAN,CLAP2_HUMAN,CLASP2,1294,27.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,CLIP-associating protein 2,1.0,0.999,27,220,188,220,
O75127,286,a,sp|O75127|PTCD1_HUMAN,PTCD1_HUMAN,PTCD1,700,7.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Pentatricopeptide repeat-containing protein 1, mitochondrial",1.0,0.999,4,17,17,17,
O75147,287,a,sp|O75147|OBSL1_HUMAN,OBSL1_HUMAN,OBSL1,1896,8.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Obscurin-like protein 1,1.0,0.999,10,49,49,49,
O75150,288,a,sp|O75150|BRE1B_HUMAN,BRE1B_HUMAN,RNF40,1001,29.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,E3 ubiquitin-protein ligase BRE1B,1.0,0.999,25,160,108,108,
O75152,289,a,sp|O75152|ZC11A_HUMAN,ZC11A_HUMAN,ZC3H11A,810,9.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Zinc finger CCCH domain-containing protein 11A,1.0,0.999,6,43,12,43,
O75157,290,a,sp|O75157|T22D2_HUMAN,T22D2_HUMAN,TSC22D2,780,9.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,TSC22 domain family protein 2,1.0,0.999,5,49,49,49,
O75175,291,a,sp|O75175|CNOT3_HUMAN,CNOT3_HUMAN,CNOT3,753,15.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,CCR4-NOT transcription complex subunit 3,1.0,0.999,10,131,131,131,
O75179,292,a,sp|O75179|ANR17_HUMAN,ANR17_HUMAN,ANKRD17,2603,13.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ankyrin repeat domain-containing protein 17,1.0,0.999,25,199,86,199,
O75182,293,a,sp|O75182|SIN3B_HUMAN,SIN3B_HUMAN,SIN3B,1162,12.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Paired amphipathic helix protein Sin3b,1.0,0.999,9,37,37,37,
O75191,294,a,sp|O75191|XYLB_HUMAN,XYLB_HUMAN,XYLB,536,13.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Xylulose kinase,1.0,0.999,6,21,10,10,
O75223,295,a,sp|O75223|GGCT_HUMAN,GGCT_HUMAN,GGCT,188,72.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Gamma-glutamylcyclotransferase,1.0,0.999,10,133,133,133,
O75251,296,a,sp|O75251|NDUS7_HUMAN,NDUS7_HUMAN,NDUFS7,213,23.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",1.0,0.999,8,43,43,43,
O75306,297,a,sp|O75306|NDUS2_HUMAN,NDUS2_HUMAN,NDUFS2,463,51.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",1.0,0.999,18,326,326,326,
O75312,298,a,sp|O75312|ZPR1_HUMAN,ZPR1_HUMAN,ZPR1,459,34.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Zinc finger protein ZPR1,1.0,0.999,13,139,129,129,
O75326,299,a,sp|O75326|SEM7A_HUMAN,SEM7A_HUMAN,SEMA7A,666,30.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Semaphorin-7A,1.0,0.999,14,41,41,41,
O75340,300,a,sp|O75340|PDCD6_HUMAN,PDCD6_HUMAN,PDCD6,191,68.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Programmed cell death protein 6,1.0,0.999,11,310,310,310,
O75347,301,a,sp|O75347|TBCA_HUMAN,TBCA_HUMAN,TBCA,108,51.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Tubulin-specific chaperone A,1.0,0.999,6,77,77,77,
O75352,302,a,sp|O75352|MPU1_HUMAN,MPU1_HUMAN,MPDU1,247,13.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mannose-P-dolichol utilization defect 1 protein,1.0,0.999,4,67,67,67,
O75367,303,a,sp|O75367|H2AY_HUMAN,H2AY_HUMAN,H2AFY,372,44.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Core histone macro-H2A.1,1.0,0.999,16,321,270,321,
O75368,304,a,sp|O75368|SH3L1_HUMAN,SH3L1_HUMAN,SH3BGRL,114,91.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,SH3 domain-binding glutamic acid-rich-like protein,1.0,0.999,9,49,49,49,
O75369,305,a,sp|O75369|FLNB_HUMAN,FLNB_HUMAN,FLNB,2602,76.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Filamin-B,1.0,0.999,166,3572,3234,3318,
O75380,306,a,sp|O75380|NDUS6_HUMAN,NDUS6_HUMAN,NDUFS6,124,38.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",1.0,0.999,3,18,18,18,
O75381,307,a,sp|O75381|PEX14_HUMAN,PEX14_HUMAN,PEX14,377,14.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Peroxisomal membrane protein PEX14,1.0,0.999,5,22,22,22,
O75390,308,a,sp|O75390|CISY_HUMAN,CISY_HUMAN,CS,466,51.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Citrate synthase, mitochondrial",1.0,0.999,23,467,467,467,
O75391,309,a,sp|O75391|SPAG7_HUMAN,SPAG7_HUMAN,SPAG7,227,18.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Sperm-associated antigen 7,1.0,0.999,4,4,4,4,
O75396,310,a,sp|O75396|SC22B_HUMAN,SC22B_HUMAN,SEC22B,215,52.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Vesicle-trafficking protein SEC22b,1.0,0.999,16,230,230,230,
O75410,311,a,sp|O75410|TACC1_HUMAN,TACC1_HUMAN,TACC1,805,7.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Transforming acidic coiled-coil-containing protein 1,1.0,0.999,5,6,2,2,
O75431,312,a,sp|O75431|MTX2_HUMAN,MTX2_HUMAN,MTX2,263,31.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Metaxin-2,1.0,0.999,6,59,59,59,
O75439,313,a,sp|O75439|MPPB_HUMAN,MPPB_HUMAN,PMPCB,489,41.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mitochondrial-processing peptidase subunit beta,1.0,0.999,17,317,298,298,
O75448,314,a,sp|O75448|MED24_HUMAN,MED24_HUMAN,MED24,989,7.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mediator of RNA polymerase II transcription subunit 24,1.0,0.999,5,46,46,46,
O75449,315,a,sp|O75449|KTNA1_HUMAN,KTNA1_HUMAN,KATNA1,491,12.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Katanin p60 ATPase-containing subunit A1,1.0,0.999,4,9,9,9,
O75477,316,a,sp|O75477|ERLN1_HUMAN,ERLN1_HUMAN,ERLIN1,348,41.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Erlin-1,1.0,0.999,15,207,129,129,
O75489,317,a,sp|O75489|NDUS3_HUMAN,NDUS3_HUMAN,NDUFS3,264,65.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",1.0,0.999,15,259,259,259,
O75521,318,a,sp|O75521|ECI2_HUMAN,ECI2_HUMAN,ECI2,394,26.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Enoyl-CoA delta isomerase 2, mitochondrial",1.0,0.999,9,151,151,151,
O75530,319,a,sp|O75530|EED_HUMAN,EED_HUMAN,EED,441,10.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Polycomb protein EED,1.0,0.999,4,24,24,24,
O75531,320,a,sp|O75531|BAF_HUMAN,BAF_HUMAN,BANF1,89,60.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Barrier-to-autointegration factor,1.0,0.999,6,57,57,57,
O75533,321,a,sp|O75533|SF3B1_HUMAN,SF3B1_HUMAN,SF3B1,1304,58.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Splicing factor 3B subunit 1,1.0,0.999,66,1329,1329,1329,
O75534,322,a,sp|O75534|CSDE1_HUMAN,CSDE1_HUMAN,CSDE1,798,50.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cold shock domain-containing protein E1,1.0,0.999,42,631,631,631,
O75569,323,a,sp|O75569|PRKRA_HUMAN,PRKRA_HUMAN,PRKRA,313,33.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,1.0,0.999,11,155,155,155,
O75600,324,a,sp|O75600|KBL_HUMAN,KBL_HUMAN,GCAT,419,22.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",1.0,0.999,6,52,52,52,
O75607,325,a,sp|O75607|NPM3_HUMAN,NPM3_HUMAN,NPM3,178,29.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nucleoplasmin-3,1.0,0.999,3,69,69,69,
O75608,326,a,sp|O75608|LYPA1_HUMAN,LYPA1_HUMAN,LYPLA1,230,27.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Acyl-protein thioesterase 1,1.0,0.999,5,57,57,57,
O75616,327,a,sp|O75616|ERAL1_HUMAN,ERAL1_HUMAN,ERAL1,437,14.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,"GTPase Era, mitochondrial",1.0,0.999,4,20,20,20,
O75629,328,a,sp|O75629|CREG1_HUMAN,CREG1_HUMAN,CREG1,220,25.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein CREG1,1.0,0.999,4,41,41,41,
O75643,329,a,sp|O75643|U520_HUMAN,U520_HUMAN,SNRNP200,2136,48.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,U5 small nuclear ribonucleoprotein 200 kDa helicase,1.0,0.999,92,1631,1631,1631,
O75663,330,a,sp|O75663|TIPRL_HUMAN,TIPRL_HUMAN,TIPRL,272,55.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,TIP41-like protein,1.0,0.999,12,292,292,292,
O75683,331,a,sp|O75683|SURF6_HUMAN,SURF6_HUMAN,SURF6,361,32.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Surfeit locus protein 6,1.0,0.999,9,34,34,34,
O75688,332,a,sp|O75688|PPM1B_HUMAN,PPM1B_HUMAN,PPM1B,479,14.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein phosphatase 1B,1.0,0.999,7,47,5,5,
O75691,333,a,sp|O75691|UTP20_HUMAN,UTP20_HUMAN,UTP20,2785,8.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Small subunit processome component 20 homolog,1.0,0.999,17,74,74,74,
O75694,334,a,sp|O75694|NU155_HUMAN,NU155_HUMAN,NUP155,1391,31.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nuclear pore complex protein Nup155,1.0,0.999,34,660,642,660,
O75695,335,a,sp|O75695|XRP2_HUMAN,XRP2_HUMAN,RP2,350,7.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein XRP2,1.0,0.999,3,36,36,36,
O75717,336,a,sp|O75717|WDHD1_HUMAN,WDHD1_HUMAN,WDHD1,1129,8.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,WD repeat and HMG-box DNA-binding protein 1,1.0,0.999,8,35,31,35,
O75718,337,a,sp|O75718|CRTAP_HUMAN,CRTAP_HUMAN,CRTAP,401,27.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cartilage-associated protein,1.0,0.999,12,138,127,127,
O75746,338,a,sp|O75746|CMC1_HUMAN,CMC1_HUMAN,SLC25A12,678,46.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Calcium-binding mitochondrial carrier protein Aralar1,1.0,0.999,23,330,180,180,
O75787,339,a,sp|O75787|RENR_HUMAN,RENR_HUMAN,ATP6AP2,350,27.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Renin receptor,1.0,0.999,7,21,21,21,
O75794,340,a,sp|O75794|CD123_HUMAN,CD123_HUMAN,CDC123,336,25.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cell division cycle protein 123 homolog,1.0,0.999,8,60,60,60,
O75817,341,a,sp|O75817|POP7_HUMAN,POP7_HUMAN,POP7,140,28.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ribonuclease P protein subunit p20,1.0,0.999,4,26,26,26,
O75818,342,a,sp|O75818|RPP40_HUMAN,RPP40_HUMAN,RPP40,363,19.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ribonuclease P protein subunit p40,1.0,0.999,5,44,44,44,
O75821,343,a,sp|O75821|EIF3G_HUMAN,EIF3G_HUMAN,EIF3G,320,69.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Eukaryotic translation initiation factor 3 subunit G,1.0,0.999,23,565,565,565,
O75822,344,a,sp|O75822|EIF3J_HUMAN,EIF3J_HUMAN,EIF3J,258,51.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Eukaryotic translation initiation factor 3 subunit J,1.0,0.999,17,231,231,231,
O75828,345,a,sp|O75828|CBR3_HUMAN,CBR3_HUMAN,CBR3,277,30.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Carbonyl reductase [NADPH] 3,1.0,0.999,7,96,21,21,
O75832,346,a,sp|O75832|PSD10_HUMAN,PSD10_HUMAN,PSMD10,226,38.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,26S proteasome non-ATPase regulatory subunit 10,1.0,0.999,7,123,123,123,
O75843,347,a,sp|O75843|AP1G2_HUMAN,AP1G2_HUMAN,AP1G2,785,27.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,AP-1 complex subunit gamma-like 2,1.0,0.999,20,191,180,180,
O75844,348,a,sp|O75844|FACE1_HUMAN,FACE1_HUMAN,ZMPSTE24,475,28.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,CAAX prenyl protease 1 homolog,1.0,0.999,12,222,222,222,
O75864,349,a,sp|O75864|PPR37_HUMAN,PPR37_HUMAN,PPP1R37,691,11.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein phosphatase 1 regulatory subunit 37,1.0,0.999,5,8,8,8,
O75874,350,a,sp|O75874|IDHC_HUMAN,IDHC_HUMAN,IDH1,414,67.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Isocitrate dehydrogenase [NADP] cytoplasmic,1.0,0.999,27,600,567,600,
O75880,351,a,sp|O75880|SCO1_HUMAN,SCO1_HUMAN,SCO1,301,25.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Protein SCO1 homolog, mitochondrial",1.0,0.999,8,107,107,107,
O75884,352,a,sp|O75884|RBBP9_HUMAN,RBBP9_HUMAN,RBBP9,186,41.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Serine hydrolase RBBP9,1.0,0.999,5,69,69,69,
O75886,353,a,sp|O75886|STAM2_HUMAN,STAM2_HUMAN,STAM2,525,29.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Signal transducing adapter molecule 2,1.0,0.999,10,56,49,49,
O75909,354,a,sp|O75909|CCNK_HUMAN,CCNK_HUMAN,CCNK,580,22.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Cyclin-K,1.0,0.999,8,36,36,36,
O75915,355,a,sp|O75915|PRAF3_HUMAN,PRAF3_HUMAN,ARL6IP5,188,32.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,PRA1 family protein 3,1.0,0.999,7,188,188,188,
O75934,356,a,sp|O75934|SPF27_HUMAN,SPF27_HUMAN,BCAS2,225,27.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Pre-mRNA-splicing factor SPF27,1.0,0.999,4,14,14,14,
O75937,357,a,sp|O75937|DNJC8_HUMAN,DNJC8_HUMAN,DNAJC8,253,58.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,DnaJ homolog subfamily C member 8,1.0,0.999,13,204,204,204,
O75940,358,a,sp|O75940|SPF30_HUMAN,SPF30_HUMAN,SMNDC1,238,40.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Survival of motor neuron-related-splicing factor 30,1.0,0.999,7,83,83,83,
O75947,359,a,sp|O75947|ATP5H_HUMAN,ATP5H_HUMAN,ATP5PD,161,64.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,"ATP synthase subunit d, mitochondrial",1.0,0.999,10,135,135,135,
O75955,360,a,sp|O75955|FLOT1_HUMAN,FLOT1_HUMAN,FLOT1,427,68.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Flotillin-1,1.0,0.999,24,274,274,274,
O75970,361,a,sp|O75970|MPDZ_HUMAN,MPDZ_HUMAN,MPDZ,2070,9.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Multiple PDZ domain protein,1.0,0.999,11,17,16,16,
O75976,362,a,sp|O75976|CBPD_HUMAN,CBPD_HUMAN,CPD,1380,35.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Carboxypeptidase D,1.0,0.999,36,379,359,379,
O76003,363,a,sp|O76003|GLRX3_HUMAN,GLRX3_HUMAN,GLRX3,335,60.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Glutaredoxin-3,1.0,0.999,22,350,350,350,
O76021,364,a,sp|O76021|RL1D1_HUMAN,RL1D1_HUMAN,RSL1D1,490,62.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ribosomal L1 domain-containing protein 1,1.0,0.999,40,685,685,685,
O76024,365,a,sp|O76024|WFS1_HUMAN,WFS1_HUMAN,WFS1,890,22.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Wolframin,1.0,0.999,20,221,221,221,
O76031,366,a,sp|O76031|CLPX_HUMAN,CLPX_HUMAN,CLPX,633,39.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",1.0,0.999,19,236,236,236,
O76062,367,a,sp|O76062|ERG24_HUMAN,ERG24_HUMAN,TM7SF2,418,16.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Delta(14)-sterol reductase TM7SF2,1.0,0.999,8,57,57,57,
O76071,368,a,sp|O76071|CIAO1_HUMAN,CIAO1_HUMAN,CIAO1,339,16.2,Homo sapiens OX=9606,1:Experimental evidence at protein level,Probable cytosolic iron-sulfur protein assembly protein CIAO1,1.0,0.999,5,78,78,78,
O76094,369,a,sp|O76094|SRP72_HUMAN,SRP72_HUMAN,SRP72,671,48.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Signal recognition particle subunit SRP72,1.0,0.999,30,447,447,447,
O77932,370,a,sp|O77932|DXO_HUMAN,DXO_HUMAN,DXO,396,12.1,Homo sapiens OX=9606,2:Experimental evidence at transcript level,Decapping and exoribonuclease protein,1.0,0.999,3,10,10,10,
O94760,371,a,sp|O94760|DDAH1_HUMAN,DDAH1_HUMAN,DDAH1,285,57.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",1.0,0.999,19,225,214,225,
O94766,372,a,sp|O94766|B3GA3_HUMAN,B3GA3_HUMAN,B3GAT3,335,28.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,1.0,0.999,7,57,57,57,
O94776,373,a,sp|O94776|MTA2_HUMAN,MTA2_HUMAN,MTA2,668,51.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Metastasis-associated protein MTA2,1.0,0.999,36,418,324,418,
O94804,374,a,sp|O94804|STK10_HUMAN,STK10_HUMAN,STK10,968,18.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,Serine/threonine-protein kinase 10,1.0,0.999,16,122,112,112,
O94808,375,a,sp|O94808|GFPT2_HUMAN,GFPT2_HUMAN,GFPT2,682,45.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2,1.0,0.999,24,260,161,161,
O94826,376,a,sp|O94826|TOM70_HUMAN,TOM70_HUMAN,TOMM70,608,52.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mitochondrial import receptor subunit TOM70,1.0,0.999,27,402,400,400,
O94851,377,a,sp|O94851|MICA2_HUMAN,MICA2_HUMAN,MICAL2,1124,7.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,[F-actin]-monooxygenase MICAL2,1.0,0.999,6,8,5,5,
O94855,378,a,sp|O94855|SC24D_HUMAN,SC24D_HUMAN,SEC24D,1032,20.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein transport protein Sec24D,1.0,0.999,17,235,228,228,
O94874,379,a,sp|O94874|UFL1_HUMAN,UFL1_HUMAN,UFL1,794,37.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,E3 UFM1-protein ligase 1,1.0,0.999,27,335,331,335,
O94876,380,a,sp|O94876|TMCC1_HUMAN,TMCC1_HUMAN,TMCC1,653,12.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Transmembrane and coiled-coil domains protein 1,1.0,0.999,5,25,25,25,
O94880,381,a,sp|O94880|PHF14_HUMAN,PHF14_HUMAN,PHF14,888,6.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,PHD finger protein 14,1.0,0.999,6,14,14,14,
O94888,382,a,sp|O94888|UBXN7_HUMAN,UBXN7_HUMAN,UBXN7,489,34.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,UBX domain-containing protein 7,1.0,0.999,15,171,171,171,
O94901,383,a,sp|O94901|SUN1_HUMAN,SUN1_HUMAN,SUN1,812,38.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,SUN domain-containing protein 1,1.0,0.999,25,355,355,355,
O94903,384,a,sp|O94903|PLPHP_HUMAN,PLPHP_HUMAN,PLPBP,275,52.0,Homo sapiens OX=9606,1:Experimental evidence at protein level,Pyridoxal phosphate homeostasis protein,1.0,0.999,10,120,120,120,
O94905,385,a,sp|O94905|ERLN2_HUMAN,ERLN2_HUMAN,ERLIN2,339,58.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,Erlin-2,1.0,0.999,20,303,224,303,
O94913,386,a,sp|O94913|PCF11_HUMAN,PCF11_HUMAN,PCF11,1555,5.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Pre-mRNA cleavage complex 2 protein Pcf11,1.0,0.999,5,6,6,6,
O94915,387,a,sp|O94915|FRYL_HUMAN,FRYL_HUMAN,FRYL,3013,10.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein furry homolog-like,1.0,0.999,25,136,136,136,
O94916,388,a,sp|O94916|NFAT5_HUMAN,NFAT5_HUMAN,NFAT5,1531,11.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nuclear factor of activated T-cells 5,1.0,0.999,10,23,23,23,
O94919,389,a,sp|O94919|ENDD1_HUMAN,ENDD1_HUMAN,ENDOD1,500,30.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Endonuclease domain-containing 1 protein,1.0,0.999,11,94,94,94,
O94923,390,a,sp|O94923|GLCE_HUMAN,GLCE_HUMAN,GLCE,617,6.5,Homo sapiens OX=9606,1:Experimental evidence at protein level,D-glucuronyl C5-epimerase,1.0,0.999,3,9,9,9,
O94929,391,a,sp|O94929|ABLM3_HUMAN,ABLM3_HUMAN,ABLIM3,683,8.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,Actin-binding LIM protein 3,1.0,0.999,5,11,11,11,
O94964,392,a,sp|O94964|SOGA1_HUMAN,SOGA1_HUMAN,SOGA1,1423,5.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein SOGA1,1.0,0.9989,6,8,8,8,
O94966,393,a,sp|O94966|UBP19_HUMAN,UBP19_HUMAN,USP19,1318,23.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ubiquitin carboxyl-terminal hydrolase 19,1.0,0.999,21,140,140,140,
O94967,394,a,sp|O94967|WDR47_HUMAN,WDR47_HUMAN,WDR47,919,7.9,Homo sapiens OX=9606,1:Experimental evidence at protein level,WD repeat-containing protein 47,1.0,0.999,5,16,16,16,
O94992,395,a,sp|O94992|HEXI1_HUMAN,HEXI1_HUMAN,HEXIM1,359,27.3,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein HEXIM1,1.0,0.999,8,65,65,65,
O95070,396,a,sp|O95070|YIF1A_HUMAN,YIF1A_HUMAN,YIF1A,293,19.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein YIF1A,1.0,0.999,4,79,79,79,
O95071,397,a,sp|O95071|UBR5_HUMAN,UBR5_HUMAN,UBR5,2799,11.7,Homo sapiens OX=9606,1:Experimental evidence at protein level,E3 ubiquitin-protein ligase UBR5,1.0,0.999,23,142,142,142,
O95081,398,a,sp|O95081|AGFG2_HUMAN,AGFG2_HUMAN,AGFG2,481,15.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Arf-GAP domain and FG repeat-containing protein 2,1.0,0.999,4,48,28,28,
O95084,399,a,sp|O95084|PRS23_HUMAN,PRS23_HUMAN,PRSS23,383,13.8,Homo sapiens OX=9606,1:Experimental evidence at protein level,Serine protease 23,1.0,0.999,4,11,9,9,
O95104,400,a,sp|O95104|SCAF4_HUMAN,SCAF4_HUMAN,SCAF4,1147,8.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,SR-related and CTD-associated factor 4,1.0,0.999,7,20,15,15,
O95149,401,a,sp|O95149|SPN1_HUMAN,SPN1_HUMAN,SNUPN,360,18.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Snurportin-1,1.0,0.999,5,44,44,44,
O95155,402,a,sp|O95155|UBE4B_HUMAN,UBE4B_HUMAN,UBE4B,1302,36.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ubiquitin conjugation factor E4 B,1.0,0.999,32,336,336,336,
O95163,403,a,sp|O95163|ELP1_HUMAN,ELP1_HUMAN,ELP1,1332,36.1,Homo sapiens OX=9606,1:Experimental evidence at protein level,Elongator complex protein 1,1.0,0.999,34,307,305,307,
O95171,404,a,sp|O95171|SCEL_HUMAN,SCEL_HUMAN,SCEL,688,32.4,Homo sapiens OX=9606,1:Experimental evidence at protein level,Sciellin,1.0,0.999,20,113,113,113,
O95208,405,a,sp|O95208|EPN2_HUMAN,EPN2_HUMAN,EPN2,641,17.6,Homo sapiens OX=9606,1:Experimental evidence at protein level,Epsin-2,1.0,0.999,8,39,39,39,
